bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,avg_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
1,Die Macher,1986.0,Strategy Game,Karl-Heinz Schmiel,"Marcus Gschwendtner, Harald Lieske","Hans im Glück, Moskito Spiele, Ediciones MasQueOca, Portal Games, Spielworxx, sternenschimmermeer, Stronghold Games, Valley Games, Inc., YOKA Games",3.0,5.0,4.0,5.0,5.0,5.0,14.0,14.02777777777778,240.0,240.0,240.0,"Economic, Negotiation, Political","Alliances, Area Majority / Influence, Auction/Bidding, Dice Rolling, Hand Management, Simultaneous Action Selection",,,,"Country: Germany, Political: Elections, Series: Classic Line (Valley Games)",,,369.0,5632.0,7.60139,1.5751,7.06367,4.3144,1.1666666666666663,,,,,,
2,Dragonmaster,1981.0,Strategy Game,"G. W. ""Jerry"" D'Arcey",Bob Pepper,"E.S. Lowe, Milton Bradley",3.0,4.0,3.0,4.0,3.0,4.0,12.0,,30.0,30.0,30.0,"Card Game, Fantasy",Trick-taking,,,,"Components: Gems/Crystals, Creatures: Dragons, Theme: Art style – Art Nouveau",2174,,4490.0,584.0,6.65823,1.46752,5.76599,1.9636,,,,,,,
3,Samurai,1998.0,Strategy Game,Reiner Knizia,Franz Vohwinkel,"Fantasy Flight Games, Hans im Glück, 999 Games, ABACUSSPIELE, Astrel Games, Ceilikan Jogos, Descartes Editeur, Edge Entertainment, Galakta, Hobby Japan, Korea Boardgames Co., Ltd., Lacerta, Lautapelit.fi, Rio Grande Games, Skandinavisk Spil Kompagni, Smart Ltd, Wargames Club Publishing",2.0,4.0,2.0,4.0,3.0,3.0,10.0,9.733333333333333,30.0,60.0,45.0,"Abstract Strategy, Medieval","Area Majority / Influence, Hand Management, Hexagon Grid, Once-Per-Game Abilities, Set Collection, Tile Placement",,,,"Components: Map (Continental / National scale), Country: Japan, Digital Implementations: Triqqy, Series: Euro Classics (Reiner Knizia), Series: Tile-Laying Trilogy (Reiner Knizia), Theme: Samurai",,,252.0,15863.0,7.45913,1.19279,7.22869,2.4784,1.006578947368421,,,,,,
4,Tal der Könige,1992.0,Strategy Game,Christian Beierer,Thomas di Paolo,KOSMOS,2.0,4.0,2.0,4.0,2.0,4.0,12.0,,60.0,60.0,60.0,Ancient,"Action Points, Area Majority / Influence, Auction/Bidding, Set Collection",,,,"Containers: Triangular Boxes, Country: Egypt, Promotional: Promo Board Games",,,5990.0,351.0,6.62296,1.23667,5.6666,2.6667,,,,,,,
6,Mare Mediterraneum,1989.0,,Jean du Poël,Jean du Poël,Historien Spiele Galerie (Historien Spielegalerie),2.0,6.0,2.0,6.0,2.0,6.0,12.0,,240.0,240.0,240.0,"Civilization, Nautical",Dice Rolling,,,,"Containers: Tubes, Region: Mediterranean Sea",,,12146.0,84.0,6.54583,1.66285,5.54166,3.0,,,,,,,
8,Lords of Creation,1993.0,,Martin Wallace,Bryan King,"Vendetta, Warfrog Games",2.0,5.0,2.0,5.0,2.0,5.0,12.0,,120.0,120.0,120.0,"Civilization, Fantasy",Modular Board,,,,,,,10575.0,209.0,6.05493,1.36835,5.55656,2.4,,,,,,,
9,El Caballero,1998.0,Strategy Game,"Wolfgang Kramer, Richard Ulrich",Doris Matthäus,"999 Games, Hans im Glück, Rio Grande Games",2.0,4.0,2.0,4.0,2.0,4.0,13.0,,90.0,90.0,90.0,Exploration,"Area Majority / Influence, Tile Placement",,,,Game: El Grande,,,3348.0,1423.0,6.44667,1.43825,5.89661,3.1867,,,,,,,
10,Elfenland,1998.0,Family Game,Alan R. Moon,"Doris Matthäus, Alan R. Moon","AMIGO, 999 Games, Albi, Corfix, Hobby World, Midgaard Games, Rio Grande Games",2.0,6.0,3.0,6.0,4.0,4.0,10.0,8.11111111111111,60.0,60.0,60.0,"Fantasy, Travel","Hand Management, Network and Route Building, Open Drafting, Point to Point Movement",,,,"Creatures: Dragons, Creatures: Fairies / Elves / Pixies, Creatures: Trolls, Creatures: Unicorns, Digital Implementations: Board Game Arena, Game: Elfenroads",711,,1251.0,8706.0,6.68721,1.25205,6.45397,2.157,1.0,,,,,,
11,Bohnanza,1997.0,Family Game,Uwe Rosenberg,"Fréderic Bertrand, Marek Bláha, Andrea Boekhoff, Klemens Franz, Oliver Freudenreich, Inge George, Guido Hoffmann, Alexander Jung, Harald Lieske, Atelier Löwentor, Doris Matthäus, Björn Pertoft, Uwe Rosenberg, Johann Rüttinger, Barbara Stachuletz, Franz Vohwinkel, Markus Wagner","AMIGO, 999 Games, Brädspel.se, Brain Games, Broadway Toys LTD, Copag Cards, Corfix, Fractal Juegos, G3, Gigamic, Giochi Uniti, Kaissa Chess & Games, Kikigagne?, Korea Boardgames Co., Ltd., Lautapelit.fi, Lifestyle Boardgames Ltd, Lookout Games, Mercurio, Midgaard Games, Möbius Games, Paper Iyagi, PaperGames (III), Piatnik, Rio Grande Games, Spilbræt.dk, Stratelibri, Swan Panasia Co., Ltd., Tempo Games (I)",2.0,7.0,3.0,7.0,4.0,5.0,12.0,8.10919540229885,45.0,45.0,45.0,"Card Game, Farming, Negotiation","Hand Management, Melding and Splaying, Negotiation, Set Collection, Trading",,,,"Components: Multi-Use Cards, Game: Bohnanza, Series: Bean Games (Lookout)",,,501.0,43523.0,7.04409,1.29768,6.93174,1.6714,1.0294117647058822,,,,,,
12,Ra,1999.0,Strategy Game,Reiner Knizia,"Allison Kline, Gahyun Lee, Ian O'Toole, Tiago Sousa, Franz Vohwinkel","alea, Ravensburger, 25th Century Games, 999 Games, ABACUSSPIELE, DiceTree Games, Edge Entertainment, Korea Boardgames Co., Ltd., New Games Order, LLC, Precisamente, Rio Grande Games, Swan Panasia Co., Ltd., Überplay, Windrider Games",2.0,5.0,2.0,5.0,3.0,4.0,12.0,9.772727272727272,45.0,60.0,52.5,"Ancient, Mythology","Auction/Bidding, Auction: Once Around, Closed Economy Auction, Constrained Bidding, Push Your Luck, Set Collection",,,,"Country: Egypt, Crowdfunding: Gamefound, Digital Implementations: Triqqy, Game: Ra, Misc: LongPack Games, Mythology: Egyptian, Series: Alea Big Box, Series: Book Box (DiceTree), Series: Euro Classics (Reiner Knizia)",,,172.0,22003.0,7.53327,1.33845,7.35844,2.3419,1.04375,,,,,,
13,CATAN,1995.0,"Strategy Game, Family Game",Klaus Teuber,"Volkan Baga, Tanja Donner, Pete Fenlon, Jason Hawkins, Michaela Kienle, Harald Lieske, Michael Menzel, Marion Pott, Matt Schwabel, Franz Vohwinkel, Stephen Graham Walsh","KOSMOS, 999 Games, Albi, Asmodee, Asmodee Canada, Astrel Games, Bergsala Enigma (Enigma), Brädspel.se, Brain Games, Broadway Toys LTD, Capcom Co., Ltd., Catan Studio, Competo / Marektoy, danspil, Descartes Editeur, Devir, Dexy Co, Eurogames, Filosofia Éditions, Galakta, Giochi Uniti, GP Games, Grow Jogos e Brinquedos, HaKubia, Hanayama, Hobby World, Ideal Board Games, Igroljub, IntelliGames.BG, Ísöld ehf., Kaissa Chess & Games, Korea Boardgames Co., Ltd., L&M Games, Laser plus, Lautapelit.fi, Logojogos, Mayfair Games, MIPL, Ninive Games, Paper Iyagi, Piatnik, Smart Ltd, Spilbræt.dk, Stupor Mundi, SuperHeated Neurons, Swan Panasia Co., Ltd., Tilsit, Top Toys, TRY SOFT, Vennerød Forlag AS",3.0,4.0,3.0,4.0,4.0,4.0,10.0,8.29757085020243,60.0,120.0,90.0,"Economic, Negotiation","Dice Rolling, Hexagon Grid, Income, Modular Board, Negotiation, Network and Route Building, Race, Random Production, Trading, Variable Set-up",,,,"Animals: Sheep, Components: Hexagonal Tiles, Components: Wooden pieces & boards, Digital Implementations: Board Game Arena, Digital Implementations: Steam, Game: Catan, Misc: Watch It Played How To Videos, Promotional: Promo Board Games",,,496.0,119186.0,7.10855,1.48869,6.93736,2.301,2.015679442508711,,,,,,
